component_id,day,generation_kwh
PV094,3,1.681
PV094,4,0.803
PV094,5,0.429
PV094,6,2.417
PV094,7,2.694
PV094,8,2.865
PV094,9,1.507
PV094,10,2.625
PV094,11,2.717
PV094,12,1.879
PV094,13,2.502
PV094,14,0.643
PV094,15,2.461
PV095,1,2.802
PV095,2,2.604
PV095,3,1.652
PV095,4,0.808
PV095,5,0.429
PV095,6,2.422
PV095,7,2.711
PV095,8,2.862
PV095,9,1.491
PV095,10,2.655
PV095,11,2.744
PV095,12,1.869
PV095,13,2.531
PV095,14,0.645
PV095,15,2.494
PV096,1,2.874
PV096,2,2.672
PV096,3,1.727
PV096,4,0.838
PV096,5,0.439
PV096,6,2.497
PV096,7,2.741
PV096,8,2.945
PV096,9,1.564
PV096,10,2.712
PV096,11,2.828
PV096,12,1.931
PV096,13,2.622
PV096,14,0.662
PV096,15,2.559
PV097,1,2.688
PV097,2,2.435
PV097,3,1.6
PV097,4,0.768
PV097,5,0.409
PV097,6,2.318
PV097,7,2.562
PV097,8,2.705
PV097,9,1.455
PV097,10,2.555
PV097,11,2.631
PV097,12,1.781
PV097,13,2.387
PV097,14,0.62
PV097,15,2.395
PV098,1,2.741
PV098,2,2.548
PV098,3,1.646
PV098,4,0.788
PV098,5,0.425
PV098,6,2.361
PV098,7,2.649
PV098,8,2.812
PV098,9,1.476
PV098,10,2.573
PV098,11,2.709
PV098,12,1.868
PV098,13,2.511
PV098,14,0.64
PV098,15,2.414
PV099,1,2.93
PV099,2,2.696
PV099,3,1.724
PV099,4,0.839
PV099,5,0.453
PV099,6,2.519
PV099,7,2.823
PV099,8,2.958
PV099,9,1.588
PV099,10,2.733
PV099,11,2.852
PV099,12,1.977
PV099,13,2.64
PV099,14,0.674
PV099,15,2.595
PV100,1,2.942
PV100,2,2.723
PV100,3,1.766
PV100,4,0.85
PV100,5,0.453
PV100,6,2.527
PV100,7,2.809
PV100,8,3.008
PV100,9,1.587
PV100,10,2.793
PV100,11,2.896
PV100,12,1.961
PV100,13,2.65
PV100,14,0.681
PV100,15,2.625
